wavelength;lens;cameraSensor
270;0;0.4197639491079975
271;0;0.4161022381301356
272;0;0.41327652312256236
273;0;0.41105930836649685
274;0;0.40942516931238904
275;0.007333827082835365;0.4077748898842716
276;0.00744618317568424;0.40720023913195214
277;0.00870032612757754;0.407133606064911
278;0.011070392986097133;0.4079488133970458
279;0.012853338559970506;0.4093355932183451
280;0.015888537199086228;0.4109416473707709
281;0.019519882219918294;0.41271716906020495
282;0.023862973534060083;0.4155293281434992
283;0.03020337877446777;0.4187774778844825
284;0.03876951911166493;0.42193416702114916
285;0.04834312448645417;0.4254074958245989
286;0.05769452226704652;0.42898331401912015
287;0.06896517460297558;0.43284310144313143
288;0.08232118773018293;0.4366695687271894
289;0.09741192826544398;0.4408446338902242
290;0.11320826354982771;0.4451125808890055
291;0.13237237580178773;0.4493148817975188
292;0.1500543449947188;0.4533865147010002
293;0.16805502497083313;0.4573858159990528
294;0.18821151245615153;0.4614296822386299
295;0.2081966531148186;0.4650486568998211
296;0.2279933902479533;0.46868342961354525
297;0.24701765981662815;0.4721202323635654
298;0.2644087048790791;0.475717789544971
299;0.2820389777583904;0.4789699973392062
300;0.29753036315027437;0.4820260158735271
301;0.3126919108948135;0.48479597951315523
302;0.3270014208617057;0.4874203829025122
303;0.34017473155434075;0.48985844394514166
304;0.351644196594572;0.49228542248919294
305;0.3612412678018596;0.49408205308226283
306;0.370649520557062;0.4959351257818504
307;0.3794662626425447;0.49733881894873666
308;0.38824546160367934;0.4989711021161245
309;0.39802635826336696;0.5000436647950158
310;0.4063587548686699;0.5008146123761988
311;0.4141477922201845;0.5018320610787035
312;0.4217195248990897;0.5024020989369653
313;0.42901799663539364;0.5028615160216374
314;0.4354914126464928;0.5030613772559691
315;0.44212026955834083;0.5030607033657986
316;0.44805750468309147;0.5030607043055221
317;0.4537893803675157;0.5030607043042117
318;0.45909683993200423;0.5030607043042137
319;0.4635672373484502;0.5030607043042137
320;0.46736574364700034;0.5030607043042137
321;0.47132792669198265;0.5030607043042137
322;0.47525275810067247;0.5030607043042137
323;0.47868193436777073;0.5030607043042137
324;0.4835361199482704;0.5030607043042137
325;0.487018026594185;0.5030607043042137
326;0.4918584969098154;0.5030607043042273
327;0.4957658688403441;0.5030607042942993
328;0.5004525748150677;0.5030607115080634
329;0.5046818112127935;0.5030554702684469
330;0.5094887779770177;0.5028727427091063
331;0.513737217063548;0.5024696491765629
332;0.5187140273595003;0.5018807040496763
333;0.5236652799371412;0.5010789840788429
334;0.527829420254609;0.5000915088138951
335;0.5328558977018168;0.49905686722438825
336;0.5372540382322777;0.4982739259140795
337;0.542006211291945;0.49727629324286915
338;0.5454532551840472;0.49662034818316114
339;0.549625192993524;0.49605174014205267
340;0.5533791670398549;0.495610129488009
341;0.5565026553819377;0.49540822821305597
342;0.5605184185370822;0.49525748809138626
343;0.5629411209983943;0.49559777048992015
344;0.565437931864677;0.4962232987809181
345;0.5678638025296099;0.496743523228773
346;0.5703501148608581;0.4972151230465932
347;0.571995109405381;0.4977529394495973
348;0.5736376899672562;0.4982171261600543
349;0.5753129214334396;0.49842128495985205
350;0.5763753748098703;0.4980963153581598
351;0.5764527849287582;0.49742190082861415
352;0.5771504899661526;0.4963317243866663
353;0.5769531874273615;0.49523867928177545
354;0.577685097964885;0.49421320374645794
355;0.5770229443459154;0.49304686503378836
356;0.5771329448082156;0.4918917551512443
357;0.5766489846498466;0.4903822968690834
358;0.576495192467495;0.48959615470562434
359;0.5750634278358218;0.48913953144083544
360;0.5748611048088004;0.48910297611642883
361;0.5732570933076532;0.48914446811341683
362;0.5731734726030049;0.4899291202456887
363;0.5718287104851429;0.490516942718638
364;0.570268833746953;0.4919086575625955
365;0.5695444775979599;0.4934704560381332
366;0.5683067683139432;0.49506786835906436
367;0.5665253284695744;0.4976530394963822
368;0.5663611808763316;0.5006469806814938
369;0.5647891734145705;0.504013245740458
370;0.564169892461365;0.5078387410060214
371;0.5626773034674364;0.5119943668263592
372;0.5617936646652939;0.5170012621049718
373;0.5608978350419687;0.5228893610645333
374;0.5606078471393005;0.5283448417617078
375;0.5594225140188034;0.5340845496261422
376;0.5591967707059013;0.5401187229909981
377;0.5592191244886502;0.5461612708269671
378;0.5588626675353816;0.5522467243032967
379;0.5584867995415057;0.558368125561183
380;0.5585331314336177;0.5643725081866973
381;0.5586521570641663;0.5701542798802335
382;0.5592163858691228;0.5754524996701753
383;0.559576297419183;0.580783296002114
384;0.5604932999958596;0.5858015371990914
385;0.5605693866011185;0.5905233001036974
386;0.5614554239713513;0.5952422888032523
387;0.5622426879857212;0.5999009865450742
388;0.5630877117187889;0.604086930762509
389;0.5639542791985923;0.6082527404094
390;0.5651846047054683;0.6120174378463652
391;0.5658513446977103;0.6162485854924975
392;0.5669970018538011;0.6197947818462706
393;0.5685197349572307;0.623534838434149
394;0.5701339516636719;0.6267380691910189
395;0.5718549720677543;0.630175467023691
396;0.5729026273393816;0.6331347741587341
397;0.5743949012337712;0.6362878509175514
398;0.5759963153684104;0.6392170646152759
399;0.5779726053195492;0.641843086578515
400;0.5799998381962076;0.6442641640504332
401;0.5816135942351595;0.6465873527109052
402;0.5834152643503415;0.6483498391092952
403;0.5863516725234985;0.6503883614291746
404;0.5877560847715018;0.6523697732372453
405;0.5900288377214828;0.654075654384149
406;0.5924429422290816;0.6559218857464426
407;0.5942775064280712;0.6585752307139523
408;0.5963680228377453;0.6613771121627179
409;0.5985204665385926;0.6653228993727238
410;0.6010014581813901;0.669411220540806
411;0.6033209073913672;0.6745017722291622
412;0.6048284855455737;0.6808515676431348
413;0.6070017965015616;0.6865223995057588
414;0.6094898972028295;0.6925906559928201
415;0.6110448126950998;0.6999266859407387
416;0.613388457207036;0.706859977165371
417;0.6157977658992375;0.7142069536269197
418;0.6173586228899629;0.7205462918463679
419;0.6190889885072304;0.7267004613399648
420;0.6213621169089414;0.7328195388917267
421;0.6229128570742098;0.7386523632131259
422;0.6245643894648045;0.7436999124444004
423;0.6262036066184309;0.7485185578941256
424;0.6277807479219727;0.7522084413390551
425;0.6298897392458764;0.7559789719685643
426;0.6317640441914828;0.7592160874969032
427;0.6333392055722551;0.7623190307236681
428;0.6335656102476968;0.7655331092846285
429;0.6354554061959635;0.7686717990421443
430;0.6364482547941632;0.7717515795188771
431;0.637966902884088;0.7747203728838225
432;0.6394788530104449;0.7779668976436174
433;0.6402359866484975;0.7811940366823042
434;0.6410749499531421;0.7846059303798734
435;0.6418822241769376;0.7882751346977831
436;0.6425987821676549;0.7912896474336296
437;0.6427731571792926;0.794647432260598
438;0.6437655806225976;0.7977050942033206
439;0.6438724082644722;0.8009545504809994
440;0.6446070079721118;0.8042074101297774
441;0.6445387173406857;0.8074882748338608
442;0.6445629779077382;0.8106089962601233
443;0.6445583532528824;0.8142198905323323
444;0.6445585751558078;0.8169306548947239
445;0.6445620392439576;0.8199098290228867
446;0.6445407949984433;0.8230277189882234
447;0.6446146367020673;0.825953282690016
448;0.6438826606882178;0.8285468891593822
449;0.6439931191690018;0.830968518934894
450;0.6432110139856919;0.8333983901462726
451;0.642552038152579;0.8351501355277263
452;0.6419314379638713;0.8366888829934224
453;0.6411074581235927;0.838105736559165
454;0.6403522837464082;0.8395435235532913
455;0.6390003834220499;0.84033476036176
456;0.6379866602170368;0.8412581172972553
457;0.6372002552380112;0.8420619952344237
458;0.6360468551638035;0.8430376682779388
459;0.6353017062546453;0.8440477800897204
460;0.634209982645235;0.845110881189362
461;0.6326153683238869;0.846882811647759
462;0.6323648709904969;0.8484003053279949
463;0.630395260388112;0.8498911813628647
464;0.6300421183652588;0.8515996977843125
465;0.6285964793793589;0.8533867131699069
466;0.6273139504627806;0.8554425427442592
467;0.6268311317784985;0.8570326467578956
468;0.6248883101782818;0.8587449751904394
469;0.6247101891635823;0.8604293503736172
470;0.6229857774959561;0.8622890743955173
471;0.6220716005976296;0.8636337174929455
472;0.6211699454537724;0.8646956921216766
473;0.6200998727682394;0.865917383312243
474;0.6192059894287966;0.8669108132006035
475;0.6177292963984475;0.8679018196356886
476;0.6171096361118862;0.8688245707704658
477;0.615529400566554;0.8700443431234117
478;0.6153583604693618;0.8713211957842061
479;0.6137770142913539;0.8726426115969361
480;0.6131576162655714;0.8744308591116858
481;0.6116829880654506;0.8765614947064707
482;0.6107826002223026;0.8787978546006608
483;0.60977144681017;0.8809966412548011
484;0.608409473063023;0.8833893086841975
485;0.6076605457951971;0.886214915860552
486;0.6068353981175265;0.8890989480978839
487;0.6060633516313718;0.891040446770356
488;0.6048008658658726;0.8931433766354453
489;0.6042566971722616;0.8956382435100567
490;0.6029138255618529;0.8976472150855204
491;0.6028287897082832;0.8988350837841707
492;0.6018227749452998;0.8998448183965634
493;0.6016554382445194;0.9005761313864116
494;0.6003211998130523;0.9007574638320927
495;0.6001970711552105;0.9010228563693988
496;0.5992367123514926;0.901666770505067
497;0.5989279335950854;0.9020684364424031
498;0.5983281988539497;0.902581060870876
499;0.5982521548517381;0.9029410303711956
500;0.5980446177001908;0.9032419230482409
501;0.5975127212936754;0.9040869467303978
502;0.597580394928936;0.904647654191948
503;0.5975731015808421;0.9054787719616179
504;0.5976093493036378;0.9064799142031147
505;0.5972501326634274;0.9074803514433364
506;0.5968727571121397;0.9083709362181274
507;0.5969129479276496;0.909704155860511
508;0.5969127242408794;0.9107834845846907
509;0.5969125431776499;0.9118967033450615
510;0.5969068799007018;0.913244122322412
511;0.5969204006946417;0.9145065809634737
512;0.5969840889586663;0.9159645865410784
513;0.5976594080423216;0.9173826334095031
514;0.5974871815247895;0.9188949745791368
515;0.5981611748930216;0.9202360346679148
516;0.5982302455374322;0.9217202245017341
517;0.5981902281007617;0.9231252985417381
518;0.5986321913159909;0.924256350047657
519;0.5988635831451208;0.9257339188876623
520;0.5995688372887449;0.9266432323839383
521;0.5996935271823376;0.9274292450999627
522;0.6003049813533715;0.928157421736493
523;0.6001619344029545;0.9286131681376765
524;0.600863409982632;0.9291552534233526
525;0.6015936655232602;0.9291613893584447
526;0.6014858214946103;0.9291614258676265
527;0.6019463527494955;0.9291290079501582
528;0.602845541196799;0.9295517216550722
529;0.6029158793716537;0.9299366249701233
530;0.6038820211434547;0.9305811437075153
531;0.6040893331013147;0.9311878448063415
532;0.6053684042478555;0.9320150648171045
533;0.6054668864998152;0.932660733368122
534;0.6059632407191153;0.9334789536874059
535;0.6068164472458502;0.9341979496208977
